x,age,total area,road width,street section,floors,main use,price-per-unit,Region
4373,17,0,0,6,0,1,10,0
4625,17,0,0,6,0,1,16,0
4746,17,0,0,6,0,1,35,0
4754,17,0,0,6,0,1,14,0
5727,17,0,0,6,0,1,30,0
6222,17,0,0,6,0,1,40,0
12422,17,0,0,6,0,1,20,0
13433,17,0,0,6,0,1,20,0
13660,17,0,0,6,0,2,6,0
15680,17,0,0,6,0,1,30,0
16388,17,0,0,6,0,1,32,0
17607,17,0,0,6,0,1,20,0
17734,17,0,0,6,0,1,30,0
18055,17,0,0,6,0,1,20,0
18060,17,0,0,6,0,1,30,0
19140,17,0,0,6,0,1,40,0
21224,17,0,0,6,0,1,15,0
25649,17,0,0,6,0,1,40,0
26535,17,0,0,6,0,1,40,0
28655,17,0,0,6,0,1,40,0
29263,17,0,0,6,0,1,8,0
31632,17,0,0,6,0,1,17,0
31824,17,0,0,6,0,1,40,0
33025,17,0,0,6,0,3,20,0
34752,17,0,0,6,0,1,40,0
35416,17,0,0,6,0,1,40,0
40968,17,0,0,6,0,1,20,0
41801,17,0,0,6,0,1,40,0
42117,17,0,0,6,0,1,30,0
42698,17,0,0,6,0,1,40,0
43989,17,0,0,6,0,2,20,0
46490,17,0,0,6,0,1,20,0
46726,17,0,0,6,0,1,25,0
47376,17,0,0,6,0,2,40,0
48040,17,0,0,6,0,1,20,0
48054,17,0,0,6,0,1,15,0
11872,44,0,0,6,1,1,7,0
11882,35,0,0,6,5,1,20,0
9876,18,0,0,6,0,1,30,0
15201,18,0,0,6,0,2,40,0
21728,18,0,0,6,0,1,40,0
21847,18,0,0,6,0,1,30,0
28891,18,0,0,6,0,1,40,0
42401,18,0,0,6,0,1,40,0
45541,18,0,0,6,0,1,30,0
2779,47,0,0,6,5,1,45,0
25423,19,0,0,6,0,1,35,0
40218,19,0,0,6,0,1,30,0
38784,21,0,0,6,0,1,38,0
15551,20,0,0,6,0,1,40,0
18641,20,0,0,6,0,1,40,0
27446,20,0,0,6,0,2,40,0
43291,20,0,0,6,0,1,30,0
14942,21,0,0,6,0,1,30,0
29908,21,0,0,6,0,1,30,0
5392,22,0,0,6,0,1,40,0
4266,23,0,0,6,5,1,40,0
13898,23,0,0,6,0,1,20,0
36376,33,0,0,6,0,2,40,0
39210,23,0,0,6,0,1,4,0
47405,25,0,0,6,0,2,40,0
39381,32,0,0,6,1,1,40,0
4824,26,0,0,6,0,4,40,0
33603,26,0,0,6,#N/A,1,40,0
38455,26,0,0,6,0,1,12,0
38632,25,0,0,6,#N/A,1,40,0
2256,39,0,0,6,1,1,40,0
12308,25,0,0,6,0,1,40,0
39703,26,0,0,6,5,1,56,1
37948,34,0,0,6,0,1,30,0
21117,28,0,0,6,0,2,40,0
27213,28,0,0,6,1,1,50,0
34539,28,0,0,6,#N/A,1,30,0
35602,28,0,0,6,0,1,38,0
44760,28,0,0,6,#N/A,1,80,0
42771,29,0,0,6,0,1,38,0
45809,29,0,0,6,#N/A,1,12,0
27826,30,0,0,6,1,1,40,0
40041,20,0,0,6,8,1,15,0
21120,31,0,0,6,5,1,40,0
40147,32,0,0,6,0,2,35,0
39677,27,0,0,6,0,2,25,0
19428,32,0,0,6,1,1,40,0
34518,32,0,0,6,5,1,40,0
10180,35,0,0,6,5,1,84,0
2439,56,0,0,6,5,1,50,1
47555,33,0,0,6,0,1,40,0
438,28,0,0,6,6,1,5,0
32574,34,0,0,6,1,1,40,0
1428,26,0,0,6,0,1,15,0
37039,45,0,0,6,0,1,30,0
22341,35,0,0,6,1,1,16,0
26425,35,0,0,6,1,1,99,0
76,25,0,0,6,0,1,40,0
10674,37,0,0,6,0,1,25,0
37212,20,0,0,6,0,2,30,0
39826,29,0,0,6,0,1,6,0
2334,20,0,0,6,0,1,30,0
37831,34,0,0,6,#N/A,1,40,0
40037,33,0,0,6,1,1,12,0
36057,28,0,0,6,0,1,40,0
11710,44,0,0,6,1,1,35,0
25839,38,0,0,6,#N/A,1,35,0
1286,32,0,0,6,1,1,25,0
1178,32,0,0,6,8,2,40,0
37159,30,0,0,6,5,2,35,0
37461,35,0,0,6,0,2,40,0
33260,44,0,0,6,5,1,40,0
31412,47,0,0,6,5,1,20,0
4996,49,0,0,6,5,1,40,0
9502,49,0,0,6,1,1,40,0
17856,49,0,0,6,#N/A,1,40,0
20368,50,0,0,6,5,1,99,0
3298,51,0,0,6,5,1,15,0
1775,22,0,0,6,0,1,20,0
6942,55,0,0,6,8,1,45,0
1368,31,0,0,6,5,1,15,1
47876,56,0,0,6,1,1,40,0
4228,57,0,0,6,5,1,40,0
21830,57,0,0,6,#N/A,1,30,0
26963,57,0,0,6,5,1,40,0
41860,59,0,0,6,1,1,40,0
44275,59,0,0,6,8,1,40,0
14449,60,0,0,6,5,1,40,0
16508,60,0,0,6,1,4,10,0
9842,61,0,0,6,1,1,20,0
41507,61,0,0,6,1,1,40,0
44291,62,0,0,6,8,1,30,0
46019,62,0,0,6,5,1,40,0
6100,63,0,0,6,5,1,40,0
8668,63,0,0,6,8,2,40,0
15797,63,0,0,6,5,1,10,0
46969,63,0,0,6,5,1,40,0
40529,65,0,0,6,5,1,50,1
43789,65,0,0,6,5,1,70,0
5636,66,0,0,6,5,1,40,0
20570,66,0,0,6,1,1,20,0
31753,66,0,0,6,1,1,40,0
16359,67,0,0,6,5,1,2,0
45065,68,0,0,6,5,1,35,0
15171,73,0,0,6,0,1,12,0
20746,73,0,0,6,0,1,4,0
37692,74,0,0,6,5,4,30,0
25429,75,0,0,6,8,0,1,0
22090,76,0,0,6,5,1,1,0
29273,76,0,0,6,5,1,40,0
35462,82,0,0,6,8,1,20,0
15409,89,0,0,6,5,1,20,0
2932,52,1,0,6,0,2,40,0
1856,46,1,0,6,0,1,35,0
1047,31,1,0,6,5,2,40,0
10744,20,1,0,6,#N/A,2,40,0
47064,28,1,0,6,5,4,40,0
1116,40,1,0,6,5,1,40,0
1247,31,1,0,6,#N/A,1,40,0
415,51,1,0,6,5,1,40,0
9433,38,1,0,6,1,1,50,0
14770,48,1,0,6,0,2,40,0
24151,50,1,0,6,#N/A,1,56,0
35780,58,1,0,6,5,1,40,0
30371,59,1,0,6,1,1,37,0
30571,65,1,0,6,1,1,40,0
48797,66,1,0,6,5,1,40,0
8187,17,1,0,6,0,1,40,0
14618,17,1,0,6,0,1,10,0
45561,17,1,0,6,0,1,25,0
8111,18,1,0,6,0,2,40,0
43101,18,1,0,6,0,1,25,0
11250,30,1,0,6,5,1,40,0
25376,24,2,0,6,0,1,40,0
43920,26,2,0,6,5,1,40,0
33898,27,2,0,6,5,1,60,0
6946,29,2,0,6,0,1,40,0
38989,25,2,0,6,0,1,40,0
34456,30,2,0,6,5,1,40,0
35298,31,2,0,6,0,1,40,0
38485,27,2,0,6,0,1,6,0
17239,33,2,0,6,1,1,40,0
34448,33,2,0,6,5,1,40,0
2432,28,2,0,6,1,1,20,0
997,51,2,0,6,8,1,15,0
14335,37,2,0,6,5,1,40,0
35993,39,2,0,6,0,2,65,0
3017,23,2,0,6,5,4,30,0
18261,39,2,0,6,1,2,40,0
10772,41,2,0,6,5,2,20,0
32186,42,2,0,6,5,1,40,1
47660,42,2,0,6,0,1,35,0
15198,43,2,0,6,5,1,40,0
2450,43,2,0,6,5,1,5,0
1373,31,2,0,6,0,2,40,0
36225,23,2,0,6,5,1,40,0
16913,49,2,0,6,#N/A,2,40,0
33857,50,2,0,6,0,1,40,0
40834,51,2,0,6,8,1,24,0
27357,52,2,0,6,5,1,40,0
35149,53,2,0,6,5,1,40,0
9934,54,2,0,6,5,1,40,0
20082,54,2,0,6,5,1,45,0
41736,54,2,0,6,5,1,40,0
16615,55,2,0,6,5,1,40,0
30569,55,2,0,6,5,1,45,0
5356,56,2,0,6,8,1,25,0
19508,58,2,0,6,5,1,40,0
4682,59,2,0,6,8,1,25,0
14686,59,2,0,6,5,1,30,1
16534,59,2,0,6,8,2,30,0
3407,60,2,0,6,1,1,40,0
5662,64,2,0,6,5,1,40,0
27236,68,2,0,6,#N/A,2,90,0
13384,69,2,0,6,5,1,17,0
19339,69,2,0,6,5,1,20,0
